
LuaHypArc Wotlk Soundfiles ID List

Formatted by HalestormXV

ID--- File

3 Dispel_Low_Base.wav 

7 BlizzardImpact1a.wav 

15 DivineShield.wav 

20 PreCastFrostMagicLow.wav 

22 IceBlastImpact.wav 

25 DivineShield.wav 

26 RestorationImpact.wav 

27 PreCastNatureMagicHigh.wav 

29 IceBarrirerState.wav 

30 CallLightning.wav 

31 PreCastNatureMagicMedium.wav 

33 LightningShieldImpact.wav 

35 LightningShieldImpact.wav 

36 DivineShield.wav 

37 Resurrection.wav 

38 Immolate.wav 

39 DivineShield.wav 

42 m1hSwordHitMetalShieldCrit.wav 

44 HolyBolt.wav 

45 iEating1.wav 

46 m2hAxeHitFleshCrit.wav 

48 mWooshMediumCrit.wav 

49 UnarmedAttackMediumCrit.wav 

50 m1hSwordHitFleshCrit.wav 

51 PreCastFireHigh.wav 

61 iUIMainMenuButtonA.wav 

63 MouseOverTarget.wav 

64 iUIMainMenuButtonA.wav 

66 MouseOverTarget.wav 

67 iUIMainMenuButtonA.wav 

69 MouseOverTarget.wav 

73 MouseOverTarget.wav 

76 MouseOverTarget.wav 

77 iUIMainMenuButtonA.wav 

79 MouseOverTarget.wav 

80 uChatScrollButton.wav 

83 uChatScrollButton.wav 

88 uEscapeScreenOpen.wav 

89 uEscapeScreenClose.wav 

100 MouseOverTarget.wav 

101 iSelectTarget.wav 

102 MouseOverTarget.wav 

111 uChatScrollButton.wav 

113 uMiniMapZoom.wav 

114 uMiniMapZoom.wav 

115 uMiniMapOpen.wav 

116 uMiniMapClose.wav 

117 iEquipmentContainerOpenA.wav 

120 LootCoinSmall.wav 

121 MouseOverTarget.wav 

122 MouseOverTarget.wav 

123 MouseOverTarget.wav 

124 LevelUp.wav 

129 m2hSwordHitFlesh1a.wav 

130 m2hSwordHitFlesh1a.wav 

131 m2hSwordHitChain1a.wav 

132 m2hSwordHitChainCrit.wav 

133 m2hSwordHitPlate1a.wav 

134 m2hSwordHitPlateCrit.wav 

135 m2hSwordHitMetalShield1a.wav 

136 m2hSwordHitMetalShieldCrit.wav 

137 m2hSwordHitMetalShield1a.wav 

138 m2hSwordHitMetalShield1a.wav 

139 m2hSwordHitMetalWeapon1a.wav 

140 m2hSwordHitMetalWeaponCrit.wav 

141 m2hSwordHitMetalWeapon1a.wav 

142 m2hSwordHitMetalWeapon1a.wav 

143 m1hSwordHitFlesh1a.wav 

144 m1hSwordHitFleshCrit.wav 

145 m1hSwordHitChain1a.wav 

146 m1hSwordHitChainCrit.wav 

147 m1hSwordHitPlate1a.wav 

148 m1hSwordHitPlateCrit.wav 

149 m1hSwordHitMetalShield1a.wav 

150 m1hSwordHitMetalShieldCrit.wav 

151 m1hSwordHitMetalShield1a.wav 

152 m1hSwordHitMetalShield1a.wav 

153 m1hSwordHitMetalWeapon1a.wav 

154 m1hSwordHitMetalWeaponCrit.wav 

155 m1hSwordHitMetalWeapon1a.wav 

156 m1hSwordHitMetalWeapon1a.wav 

157 m2hAxeHitFlesh1a.wav 

158 m2hAxeHitFleshCrit.wav 

159 m2hAxeHitChain1a.wav 

160 m2hAxeHitChainCrit.wav 

161 m2hAxeHitPlate1a.wav 

162 m2hAxeHitPlateCrit.wav 

163 m2hAxeHitMetalShield1a.wav 

164 m2hAxeHitMetalShieldCrit.wav 

165 m2hAxeHitMetalShield1a.wav 

166 m2hAxeHitMetalShield1a.wav 

167 m2hAxeHitMetalWeapon1a.wav 

168 m2hAxeHitMetalWeaponCrit.wav 

169 m2hAxeHitMetalWeapon1a.wav 

170 m2hAxeHitMetalWeapon1a.wav 

171 m1hAxeHitFlesh1a.wav 

172 m1hAxeHitFleshCrit.wav 

173 m1hAxeHitChain1a.wav 

174 m1hAxeHitChainCrit.wav 

175 m1hAxeHitPlate1a.wav 

176 m1hAxeHitPlateCrit.wav 

177 m1hAxeHitMetalShield1a.wav 

178 m1hAxeHitMetalShieldCrit.wav 

179 m1hAxeHitMetalShield1a.wav 

180 m1hAxeHitMetalShield1a.wav 

181 m1hAxeHitMetalWeapon1a.wav 

